type,mark,ask,bid,delta,strike,description,underlying_price,volatility,expiration
CALL,1018.46,1018.96,1017.96,1.0,4885.0,SPXW_2025-01-03_C_4885,5903.46,18.4063,2025-01-03
CALL,1013.46,1013.96,1012.96,1.0,4890.0,SPXW_2025-01-03_C_4890,5903.46,18.4063,2025-01-03
CALL,1008.46,1008.96,1007.96,1.0,4895.0,SPXW_2025-01-03_C_4895,5903.46,18.4063,2025-01-03
CALL,1003.46,1003.96,1002.96,1.0,4900.0,SPXW_2025-01-03_C_4900,5903.46,18.4063,2025-01-03
CALL,998.46,998.96,997.96,1.0,4905.0,SPXW_2025-01-03_C_4905,5903.46,18.4063,2025-01-03
CALL,993.46,993.96,992.96,1.0,4910.0,SPXW_2025-01-03_C_4910,5903.46,18.4063,2025-01-03
CALL,988.46,988.96,987.96,1.0,4915.0,SPXW_2025-01-03_C_4915,5903.46,18.4063,2025-01-03
CALL,983.46,983.96,982.96,1.0,4920.0,SPXW_2025-01-03_C_4920,5903.46,18.4063,2025-01-03
CALL,978.46,978.96,977.96,1.0,4925.0,SPXW_2025-01-03_C_4925,5903.46,18.4063,2025-01-03
CALL,973.46,973.96,972.96,1.0,4930.0,SPXW_2025-01-03_C_4930,5903.46,18.4063,2025-01-03
CALL,968.46,968.96,967.96,1.0,4935.0,SPXW_2025-01-03_C_4935,5903.46,18.4063,2025-01-03
CALL,963.46,963.96,962.96,1.0,4940.0,SPXW_2025-01-03_C_4940,5903.46,18.4063,2025-01-03
CALL,958.46,958.96,957.96,1.0,4945.0,SPXW_2025-01-03_C_4945,5903.46,18.4063,2025-01-03
CALL,953.46,953.96,952.96,1.0,4950.0,SPXW_2025-01-03_C_4950,5903.46,18.4063,2025-01-03
CALL,948.46,948.96,947.96,1.0,4955.0,SPXW_2025-01-03_C_4955,5903.46,18.4063,2025-01-03
CALL,943.46,943.96,942.96,1.0,4960.0,SPXW_2025-01-03_C_4960,5903.46,18.4063,2025-01-03
CALL,938.46,938.96,937.96,1.0,4965.0,SPXW_2025-01-03_C_4965,5903.46,18.4063,2025-01-03
CALL,933.46,933.96,932.96,1.0,4970.0,SPXW_2025-01-03_C_4970,5903.46,18.4063,2025-01-03
CALL,928.46,928.96,927.96,1.0,4975.0,SPXW_2025-01-03_C_4975,5903.46,18.4063,2025-01-03
CALL,923.46,923.96,922.96,1.0,4980.0,SPXW_2025-01-03_C_4980,5903.46,18.4063,2025-01-03
CALL,918.46,918.96,917.96,1.0,4985.0,SPXW_2025-01-03_C_4985,5903.46,18.4063,2025-01-03
CALL,913.46,913.96,912.96,1.0,4990.0,SPXW_2025-01-03_C_4990,5903.46,18.4063,2025-01-03
CALL,908.46,908.96,907.96,1.0,4995.0,SPXW_2025-01-03_C_4995,5903.46,18.4063,2025-01-03
CALL,903.46,903.96,902.96,1.0,5000.0,SPXW_2025-01-03_C_5000,5903.46,18.4063,2025-01-03
CALL,898.46,898.96,897.96,1.0,5005.0,SPXW_2025-01-03_C_5005,5903.46,18.4063,2025-01-03
CALL,893.46,893.96,892.96,1.0,5010.0,SPXW_2025-01-03_C_5010,5903.46,18.4063,2025-01-03
CALL,888.46,888.96,887.96,1.0,5015.0,SPXW_2025-01-03_C_5015,5903.46,18.4063,2025-01-03
CALL,883.46,883.96,882.96,1.0,5020.0,SPXW_2025-01-03_C_5020,5903.46,18.4063,2025-01-03
CALL,878.46,878.96,877.96,1.0,5025.0,SPXW_2025-01-03_C_5025,5903.46,18.4063,2025-01-03
CALL,873.46,873.96,872.96,1.0,5030.0,SPXW_2025-01-03_C_5030,5903.46,18.4063,2025-01-03
CALL,868.46,868.96,867.96,1.0,5035.0,SPXW_2025-01-03_C_5035,5903.46,18.4063,2025-01-03
CALL,863.46,863.96,862.96,1.0,5040.0,SPXW_2025-01-03_C_5040,5903.46,18.4063,2025-01-03
CALL,858.46,858.96,857.96,1.0,5045.0,SPXW_2025-01-03_C_5045,5903.46,18.4063,2025-01-03
CALL,853.46,853.96,852.96,1.0,5050.0,SPXW_2025-01-03_C_5050,5903.46,18.4063,2025-01-03
CALL,848.46,848.96,847.96,1.0,5055.0,SPXW_2025-01-03_C_5055,5903.46,18.4063,2025-01-03
CALL,843.46,843.96,842.96,1.0,5060.0,SPXW_2025-01-03_C_5060,5903.46,18.4063,2025-01-03
CALL,838.46,838.96,837.96,1.0,5065.0,SPXW_2025-01-03_C_5065,5903.46,18.4063,2025-01-03
CALL,833.46,833.96,832.96,1.0,5070.0,SPXW_2025-01-03_C_5070,5903.46,18.4063,2025-01-03
CALL,828.46,828.96,827.96,1.0,5075.0,SPXW_2025-01-03_C_5075,5903.46,18.4063,2025-01-03
CALL,823.46,823.96,822.96,1.0,5080.0,SPXW_2025-01-03_C_5080,5903.46,18.4063,2025-01-03
CALL,818.46,818.96,817.96,1.0,5085.0,SPXW_2025-01-03_C_5085,5903.46,18.4063,2025-01-03
CALL,813.46,813.96,812.96,1.0,5090.0,SPXW_2025-01-03_C_5090,5903.46,18.4063,2025-01-03
CALL,808.46,808.96,807.96,1.0,5095.0,SPXW_2025-01-03_C_5095,5903.46,18.4063,2025-01-03
CALL,803.46,803.96,802.96,1.0,5100.0,SPXW_2025-01-03_C_5100,5903.46,18.4063,2025-01-03
CALL,798.46,798.96,797.96,1.0,5105.0,SPXW_2025-01-03_C_5105,5903.46,18.4063,2025-01-03
CALL,793.46,793.96,792.96,1.0,5110.0,SPXW_2025-01-03_C_5110,5903.46,18.4063,2025-01-03
CALL,788.46,788.96,787.96,1.0,5115.0,SPXW_2025-01-03_C_5115,5903.46,18.4063,2025-01-03
CALL,783.46,783.96,782.96,1.0,5120.0,SPXW_2025-01-03_C_5120,5903.46,18.4063,2025-01-03
CALL,778.46,778.96,777.96,1.0,5125.0,SPXW_2025-01-03_C_5125,5903.46,18.4063,2025-01-03
CALL,773.46,773.96,772.96,1.0,5130.0,SPXW_2025-01-03_C_5130,5903.46,18.4063,2025-01-03
CALL,768.46,768.96,767.96,1.0,5135.0,SPXW_2025-01-03_C_5135,5903.46,18.4063,2025-01-03
CALL,763.46,763.96,762.96,1.0,5140.0,SPXW_2025-01-03_C_5140,5903.46,18.4063,2025-01-03
CALL,758.46,758.96,757.96,1.0,5145.0,SPXW_2025-01-03_C_5145,5903.46,18.4063,2025-01-03
CALL,753.46,753.96,752.96,1.0,5150.0,SPXW_2025-01-03_C_5150,5903.46,18.4063,2025-01-03
CALL,748.46,748.96,747.96,1.0,5155.0,SPXW_2025-01-03_C_5155,5903.46,18.4063,2025-01-03
CALL,743.46,743.96,742.96,1.0,5160.0,SPXW_2025-01-03_C_5160,5903.46,18.4063,2025-01-03
CALL,738.46,738.96,737.96,1.0,5165.0,SPXW_2025-01-03_C_5165,5903.46,18.4063,2025-01-03
CALL,733.46,733.96,732.96,1.0,5170.0,SPXW_2025-01-03_C_5170,5903.46,18.4063,2025-01-03
CALL,728.46,728.96,727.96,1.0,5175.0,SPXW_2025-01-03_C_5175,5903.46,18.4063,2025-01-03
CALL,723.46,723.96,722.96,1.0,5180.0,SPXW_2025-01-03_C_5180,5903.46,18.4063,2025-01-03
CALL,718.46,718.96,717.96,1.0,5185.0,SPXW_2025-01-03_C_5185,5903.46,18.4063,2025-01-03
CALL,713.46,713.96,712.96,1.0,5190.0,SPXW_2025-01-03_C_5190,5903.46,18.4063,2025-01-03
CALL,708.46,708.96,707.96,1.0,5195.0,SPXW_2025-01-03_C_5195,5903.46,18.4063,2025-01-03
CALL,703.46,703.96,702.96,1.0,5200.0,SPXW_2025-01-03_C_5200,5903.46,18.4063,2025-01-03
CALL,698.46,698.96,697.96,1.0,5205.0,SPXW_2025-01-03_C_5205,5903.46,18.4063,2025-01-03
CALL,693.46,693.96,692.96,1.0,5210.0,SPXW_2025-01-03_C_5210,5903.46,18.4063,2025-01-03
CALL,688.46,688.96,687.96,1.0,5215.0,SPXW_2025-01-03_C_5215,5903.46,18.4063,2025-01-03
CALL,683.46,683.96,682.96,1.0,5220.0,SPXW_2025-01-03_C_5220,5903.46,18.4063,2025-01-03
CALL,678.46,678.96,677.96,1.0,5225.0,SPXW_2025-01-03_C_5225,5903.46,18.4063,2025-01-03
CALL,673.46,673.96,672.96,1.0,5230.0,SPXW_2025-01-03_C_5230,5903.46,18.4063,2025-01-03
CALL,668.46,668.96,667.96,1.0,5235.0,SPXW_2025-01-03_C_5235,5903.46,18.4063,2025-01-03
CALL,663.46,663.96,662.96,1.0,5240.0,SPXW_2025-01-03_C_5240,5903.46,18.4063,2025-01-03
CALL,658.46,658.96,657.96,1.0,5245.0,SPXW_2025-01-03_C_5245,5903.46,18.4063,2025-01-03
CALL,653.46,653.96,652.96,1.0,5250.0,SPXW_2025-01-03_C_5250,5903.46,18.4063,2025-01-03
CALL,648.46,648.96,647.96,1.0,5255.0,SPXW_2025-01-03_C_5255,5903.46,18.4063,2025-01-03
CALL,643.46,643.96,642.96,1.0,5260.0,SPXW_2025-01-03_C_5260,5903.46,18.4063,2025-01-03
CALL,638.46,638.96,637.96,1.0,5265.0,SPXW_2025-01-03_C_5265,5903.46,18.4063,2025-01-03
CALL,633.46,633.96,632.96,1.0,5270.0,SPXW_2025-01-03_C_5270,5903.46,18.4063,2025-01-03
CALL,628.46,628.96,627.96,1.0,5275.0,SPXW_2025-01-03_C_5275,5903.46,18.4063,2025-01-03
CALL,623.46,623.96,622.96,1.0,5280.0,SPXW_2025-01-03_C_5280,5903.46,18.4063,2025-01-03
CALL,618.46,618.96,617.96,1.0,5285.0,SPXW_2025-01-03_C_5285,5903.46,18.4063,2025-01-03
CALL,613.46,613.96,612.96,1.0,5290.0,SPXW_2025-01-03_C_5290,5903.46,18.4063,2025-01-03
CALL,608.46,608.96,607.96,1.0,5295.0,SPXW_2025-01-03_C_5295,5903.46,18.4063,2025-01-03
CALL,603.46,603.96,602.96,1.0,5300.0,SPXW_2025-01-03_C_5300,5903.46,18.4063,2025-01-03
CALL,598.46,598.96,597.96,1.0,5305.0,SPXW_2025-01-03_C_5305,5903.46,18.4063,2025-01-03
CALL,593.46,593.96,592.96,1.0,5310.0,SPXW_2025-01-03_C_5310,5903.46,18.4063,2025-01-03
CALL,588.46,588.96,587.96,1.0,5315.0,SPXW_2025-01-03_C_5315,5903.46,18.4063,2025-01-03
CALL,583.46,583.96,582.96,1.0,5320.0,SPXW_2025-01-03_C_5320,5903.46,18.4063,2025-01-03
CALL,578.46,578.96,577.96,1.0,5325.0,SPXW_2025-01-03_C_5325,5903.46,18.4063,2025-01-03
CALL,573.46,573.96,572.96,1.0,5330.0,SPXW_2025-01-03_C_5330,5903.46,18.4063,2025-01-03
CALL,568.46,568.96,567.96,1.0,5335.0,SPXW_2025-01-03_C_5335,5903.46,18.4063,2025-01-03
CALL,563.46,563.96,562.96,1.0,5340.0,SPXW_2025-01-03_C_5340,5903.46,18.4063,2025-01-03
CALL,558.46,558.96,557.96,1.0,5345.0,SPXW_2025-01-03_C_5345,5903.46,18.4063,2025-01-03
CALL,553.46,553.96,552.96,1.0,5350.0,SPXW_2025-01-03_C_5350,5903.46,18.4063,2025-01-03
CALL,548.46,548.96,547.96,1.0,5355.0,SPXW_2025-01-03_C_5355,5903.46,18.4063,2025-01-03
CALL,543.46,543.96,542.96,1.0,5360.0,SPXW_2025-01-03_C_5360,5903.46,18.4063,2025-01-03
CALL,538.46,538.96,537.96,1.0,5365.0,SPXW_2025-01-03_C_5365,5903.46,18.4063,2025-01-03
CALL,533.46,533.96,532.96,1.0,5370.0,SPXW_2025-01-03_C_5370,5903.46,18.4063,2025-01-03
CALL,528.46,528.96,527.96,1.0,5375.0,SPXW_2025-01-03_C_5375,5903.46,18.4063,2025-01-03
CALL,523.46,523.96,522.96,1.0,5380.0,SPXW_2025-01-03_C_5380,5903.46,18.4063,2025-01-03
CALL,518.46,518.96,517.96,1.0,5385.0,SPXW_2025-01-03_C_5385,5903.46,18.4063,2025-01-03
CALL,513.46,513.96,512.96,1.0,5390.0,SPXW_2025-01-03_C_5390,5903.46,18.4063,2025-01-03
CALL,508.46000000000004,508.96,507.96,1.0,5395.0,SPXW_2025-01-03_C_5395,5903.46,18.4063,2025-01-03
CALL,503.46000000000004,503.96,502.96,1.0,5400.0,SPXW_2025-01-03_C_5400,5903.46,18.4063,2025-01-03
CALL,498.46000000000004,498.96,497.96,1.0,5405.0,SPXW_2025-01-03_C_5405,5903.46,18.4063,2025-01-03
CALL,493.46000000000004,493.96,492.96,1.0,5410.0,SPXW_2025-01-03_C_5410,5903.46,18.4063,2025-01-03
CALL,488.46000000000004,488.96,487.96,1.0,5415.0,SPXW_2025-01-03_C_5415,5903.46,18.4063,2025-01-03
CALL,483.46000000000004,483.96,482.96,1.0,5420.0,SPXW_2025-01-03_C_5420,5903.46,18.4063,2025-01-03
CALL,478.46000000000004,478.96,477.96,1.0,5425.0,SPXW_2025-01-03_C_5425,5903.46,18.4063,2025-01-03
CALL,473.46000000000004,473.96,472.96,1.0,5430.0,SPXW_2025-01-03_C_5430,5903.46,18.4063,2025-01-03
CALL,468.46000000000004,468.96,467.96,1.0,5435.0,SPXW_2025-01-03_C_5435,5903.46,18.4063,2025-01-03
CALL,463.46000000000004,463.96,462.96,1.0,5440.0,SPXW_2025-01-03_C_5440,5903.46,18.4063,2025-01-03
CALL,458.46000000000004,458.96,457.96,1.0,5445.0,SPXW_2025-01-03_C_5445,5903.46,18.4063,2025-01-03
CALL,453.46000000000004,453.96,452.96,1.0,5450.0,SPXW_2025-01-03_C_5450,5903.46,18.4063,2025-01-03
CALL,448.46000000000004,448.96,447.96,1.0,5455.0,SPXW_2025-01-03_C_5455,5903.46,18.4063,2025-01-03
CALL,443.46000000000004,443.96,442.96,1.0,5460.0,SPXW_2025-01-03_C_5460,5903.46,18.4063,2025-01-03
CALL,438.46000000000004,438.96,437.96,1.0,5465.0,SPXW_2025-01-03_C_5465,5903.46,18.4063,2025-01-03
CALL,433.46000000000004,433.96,432.96,1.0,5470.0,SPXW_2025-01-03_C_5470,5903.46,18.4063,2025-01-03
CALL,428.46000000000004,428.96,427.96,1.0,5475.0,SPXW_2025-01-03_C_5475,5903.46,18.4063,2025-01-03
CALL,423.46000000000004,423.96,422.96,1.0,5480.0,SPXW_2025-01-03_C_5480,5903.46,18.4063,2025-01-03
CALL,418.46000000000004,418.96,417.96,1.0,5485.0,SPXW_2025-01-03_C_5485,5903.46,18.4063,2025-01-03
CALL,413.46000000000004,413.96,412.96,1.0,5490.0,SPXW_2025-01-03_C_5490,5903.46,18.4063,2025-01-03
CALL,408.46000000000004,408.96,407.96,1.0,5495.0,SPXW_2025-01-03_C_5495,5903.46,18.4063,2025-01-03
CALL,403.46000000000004,403.96,402.96,1.0,5500.0,SPXW_2025-01-03_C_5500,5903.46,18.4063,2025-01-03
CALL,398.46000000000004,398.96,397.96,1.0,5505.0,SPXW_2025-01-03_C_5505,5903.46,18.4063,2025-01-03
CALL,393.46000000000004,393.96,392.96,1.0,5510.0,SPXW_2025-01-03_C_5510,5903.46,18.4063,2025-01-03
CALL,388.46000000000004,388.96,387.96,1.0,5515.0,SPXW_2025-01-03_C_5515,5903.46,18.4063,2025-01-03
CALL,383.46000000000004,383.96,382.96,1.0,5520.0,SPXW_2025-01-03_C_5520,5903.46,18.4063,2025-01-03
CALL,378.46000000000004,378.96,377.96,1.0,5525.0,SPXW_2025-01-03_C_5525,5903.46,18.4063,2025-01-03
CALL,373.46000000000004,373.96,372.96,1.0,5530.0,SPXW_2025-01-03_C_5530,5903.46,18.4063,2025-01-03
CALL,368.46000000000004,368.96,367.96,1.0,5535.0,SPXW_2025-01-03_C_5535,5903.46,18.4063,2025-01-03
CALL,363.46000000000004,363.96,362.96,1.0,5540.0,SPXW_2025-01-03_C_5540,5903.46,18.4063,2025-01-03
CALL,358.46000000000004,358.96,357.96,1.0,5545.0,SPXW_2025-01-03_C_5545,5903.46,18.4063,2025-01-03
CALL,353.46000000000004,353.96,352.96,1.0,5550.0,SPXW_2025-01-03_C_5550,5903.46,18.4063,2025-01-03
CALL,348.46000000000004,348.96,347.96,1.0,5555.0,SPXW_2025-01-03_C_5555,5903.46,18.4063,2025-01-03
CALL,343.46000000000004,343.96,342.96,1.0,5560.0,SPXW_2025-01-03_C_5560,5903.46,18.4063,2025-01-03
CALL,338.46000000000004,338.96,337.96,1.0,5565.0,SPXW_2025-01-03_C_5565,5903.46,18.4063,2025-01-03
CALL,333.46000000000004,333.96,332.96,1.0,5570.0,SPXW_2025-01-03_C_5570,5903.46,18.4063,2025-01-03
CALL,328.46000000000004,328.96,327.96,1.0,5575.0,SPXW_2025-01-03_C_5575,5903.46,18.4063,2025-01-03
CALL,323.46000000000004,323.96,322.96,1.0,5580.0,SPXW_2025-01-03_C_5580,5903.46,18.4063,2025-01-03
CALL,318.46000000000004,318.96,317.96,1.0,5585.0,SPXW_2025-01-03_C_5585,5903.46,18.4063,2025-01-03
CALL,313.46000000000004,313.96,312.96,1.0,5590.0,SPXW_2025-01-03_C_5590,5903.46,18.4063,2025-01-03
CALL,308.46000000000004,308.96,307.96,1.0,5595.0,SPXW_2025-01-03_C_5595,5903.46,18.4063,2025-01-03
CALL,303.46000000000004,303.96,302.96,1.0,5600.0,SPXW_2025-01-03_C_5600,5903.46,18.4063,2025-01-03
CALL,298.46000000000004,298.96,297.96,0.999999,5605.0,SPXW_2025-01-03_C_5605,5903.46,18.4063,2025-01-03
CALL,293.46000000000004,293.96,292.96,0.999999,5610.0,SPXW_2025-01-03_C_5610,5903.46,18.4063,2025-01-03
CALL,288.46000000000004,288.96,287.96,0.999999,5615.0,SPXW_2025-01-03_C_5615,5903.46,18.4063,2025-01-03
CALL,283.46000000000004,283.96,282.96,0.999998,5620.0,SPXW_2025-01-03_C_5620,5903.46,18.4063,2025-01-03
CALL,278.46000000000004,278.96,277.96,0.999997,5625.0,SPXW_2025-01-03_C_5625,5903.46,18.4063,2025-01-03
CALL,273.4601,273.9601,272.9601,0.999996,5630.0,SPXW_2025-01-03_C_5630,5903.46,18.4063,2025-01-03
CALL,268.4601,268.9601,267.9601,0.999994,5635.0,SPXW_2025-01-03_C_5635,5903.46,18.4063,2025-01-03
CALL,263.4601,263.9601,262.9601,0.999991,5640.0,SPXW_2025-01-03_C_5640,5903.46,18.4063,2025-01-03
CALL,258.4602,258.9602,257.9602,0.999987,5645.0,SPXW_2025-01-03_C_5645,5903.46,18.4063,2025-01-03
CALL,253.4603,253.9603,252.9603,0.999981,5650.0,SPXW_2025-01-03_C_5650,5903.46,18.4063,2025-01-03
CALL,248.4604,248.9604,247.9604,0.999972,5655.0,SPXW_2025-01-03_C_5655,5903.46,18.4063,2025-01-03
CALL,243.4606,243.9606,242.9606,0.999961,5660.0,SPXW_2025-01-03_C_5660,5903.46,18.4063,2025-01-03
CALL,238.4608,238.9608,237.9608,0.999945,5665.0,SPXW_2025-01-03_C_5665,5903.46,18.4063,2025-01-03
CALL,233.4612,233.9612,232.9612,0.999923,5670.0,SPXW_2025-01-03_C_5670,5903.46,18.4063,2025-01-03
CALL,228.4616,228.9616,227.9616,0.999893,5675.0,SPXW_2025-01-03_C_5675,5903.46,18.4063,2025-01-03
CALL,223.4623,223.9623,222.9623,0.999852,5680.0,SPXW_2025-01-03_C_5680,5903.46,18.4063,2025-01-03
CALL,218.4632,218.9632,217.9632,0.999797,5685.0,SPXW_2025-01-03_C_5685,5903.46,18.4063,2025-01-03
CALL,213.4644,213.9644,212.9644,0.999724,5690.0,SPXW_2025-01-03_C_5690,5903.46,18.4063,2025-01-03
CALL,208.4661,208.9661,207.9661,0.999627,5695.0,SPXW_2025-01-03_C_5695,5903.46,18.4063,2025-01-03
CALL,203.4684,203.9684,202.9684,0.999499,5700.0,SPXW_2025-01-03_C_5700,5903.46,18.4063,2025-01-03
CALL,198.4714,198.9714,197.9714,0.999331,5705.0,SPXW_2025-01-03_C_5705,5903.46,18.4063,2025-01-03
CALL,193.4754,193.9754,192.9754,0.999113,5710.0,SPXW_2025-01-03_C_5710,5903.46,18.4063,2025-01-03
CALL,188.4807,188.9807,187.9807,0.998832,5715.0,SPXW_2025-01-03_C_5715,5903.46,18.4063,2025-01-03
CALL,183.4876,183.9876,182.9876,0.998472,5720.0,SPXW_2025-01-03_C_5720,5903.46,18.4063,2025-01-03
CALL,178.4967,178.9967,177.9967,0.998012,5725.0,SPXW_2025-01-03_C_5725,5903.46,18.4063,2025-01-03
CALL,173.5084,174.0084,173.0084,0.997432,5730.0,SPXW_2025-01-03_C_5730,5903.46,18.4063,2025-01-03
CALL,168.5235,169.0235,168.0235,0.996703,5735.0,SPXW_2025-01-03_C_5735,5903.46,18.4063,2025-01-03
CALL,163.5427,164.0427,163.0427,0.995794,5740.0,SPXW_2025-01-03_C_5740,5903.46,18.4063,2025-01-03
CALL,158.5672,159.0672,158.0672,0.994668,5745.0,SPXW_2025-01-03_C_5745,5903.46,18.4063,2025-01-03
CALL,153.5982,154.0982,153.0982,0.993283,5750.0,SPXW_2025-01-03_C_5750,5903.46,18.4063,2025-01-03
CALL,148.637,149.137,148.137,0.991591,5755.0,SPXW_2025-01-03_C_5755,5903.46,18.4063,2025-01-03
CALL,143.6853,144.1853,143.1853,0.989537,5760.0,SPXW_2025-01-03_C_5760,5903.46,18.4063,2025-01-03
CALL,138.7453,139.2453,138.2453,0.987062,5765.0,SPXW_2025-01-03_C_5765,5903.46,18.4063,2025-01-03
CALL,133.8184,134.3184,133.3184,0.984124,5770.0,SPXW_2025-01-03_C_5770,5903.46,18.4007,2025-01-03
CALL,128.9077,129.4077,128.4077,0.980635,5775.0,SPXW_2025-01-03_C_5775,5903.46,18.3947,2025-01-03
CALL,124.0161,124.5161,123.5161,0.97652,5780.0,SPXW_2025-01-03_C_5780,5903.46,18.3881,2025-01-03
CALL,119.1468,119.6468,118.6468,0.971704,5785.0,SPXW_2025-01-03_C_5785,5903.46,18.3797,2025-01-03
CALL,114.3032,114.8032,113.8032,0.966109,5790.0,SPXW_2025-01-03_C_5790,5903.46,18.3693,2025-01-03
CALL,109.4895,109.9895,108.9895,0.959644,5795.0,SPXW_2025-01-03_C_5795,5903.46,18.3575,2025-01-03
CALL,104.71,105.21,104.21,0.952227,5800.0,SPXW_2025-01-03_C_5800,5903.46,18.3436,2025-01-03
CALL,99.9694,100.4694,99.4694,0.94377,5805.0,SPXW_2025-01-03_C_5805,5903.46,18.3276,2025-01-03
CALL,95.2729,95.7729,94.7729,0.93419,5810.0,SPXW_2025-01-03_C_5810,5903.46,18.3094,2025-01-03
CALL,90.626,91.126,90.126,0.923407,5815.0,SPXW_2025-01-03_C_5815,5903.46,18.2886,2025-01-03
CALL,86.0347,86.5347,85.5347,0.911339,5820.0,SPXW_2025-01-03_C_5820,5903.46,18.2655,2025-01-03
CALL,81.5049,82.0049,81.0049,0.89792,5825.0,SPXW_2025-01-03_C_5825,5903.46,18.2396,2025-01-03
CALL,77.0435,77.5435,76.5435,0.883083,5830.0,SPXW_2025-01-03_C_5830,5903.46,18.2111,2025-01-03
CALL,72.657,73.157,72.157,0.866779,5835.0,SPXW_2025-01-03_C_5835,5903.46,18.1797,2025-01-03
CALL,68.3528,68.8528,67.8528,0.848961,5840.0,SPXW_2025-01-03_C_5840,5903.46,18.1457,2025-01-03
CALL,64.1378,64.6378,63.6378,0.829603,5845.0,SPXW_2025-01-03_C_5845,5903.46,18.1089,2025-01-03
CALL,60.02,60.52,59.52,0.808688,5850.0,SPXW_2025-01-03_C_5850,5903.46,18.0697,2025-01-03
CALL,56.0071,56.5071,55.5071,0.786214,5855.0,SPXW_2025-01-03_C_5855,5903.46,18.0285,2025-01-03
